rank,term,us_interest,us_preset,gb_interest,gb_preset,ca_interest,de_interest,us_seasonality,us_mom_change,us_yoy_change,from_suggestions
520,aesthetic desk setup,,,,,,,,,,Y
521,ikea desk setup,,,,,,,,,,Y
522,gift ideas,,,,,,,,,,Y
523,gift ideas for best friend,,,,,,,,,,Y
524,gift ideas for boyfriend,,,,,,,,,,Y
525,gift ideas for women,,,,,,,,,,Y
526,gift ideas for friends,,,,,,,,,,Y
527,gift ideas for mum,,,,,,,,,,Y
528,gift ideas for girlfriend,,,,,,,,,,Y
529,gift ideas diy,,,,,,,,,,Y
530,gift ideas for men,,,,,,,,,,Y
531,gift ideas for dad,,,,,,,,,,Y
532,home decor ideas,,,,,,,,,,Y
533,home decor bedroom,,,,,,,,,,Y
534,home decoration ideas,,,,,,,,,,Y
535,home decor ideas living room,,,,,,,,,,Y
536,home decor ideas living room and kitchen,,,,,,,,,,Y
537,home decor inspiration,,,,,,,,,,Y
538,home decor inspo,,,,,,,,,,Y
539,home decor style,,,,,,,,,,Y
540,journal ideas,,,,,,,,,,Y
541,journal ideas aesthetic,,,,,,,,,,Y
542,journal ideas pages,,,,,,,,,,Y
543,journal ideas creative,,,,,,,,,,Y
544,bullet journal ideas,,,,,,,,,,Y
545,junk journal ideas,,,,,,,,,,Y
546,journal page ideas,,,,,,,,,,Y
547,journal cover ideas,,,,,,,,,,Y
548,book journal ideas,,,,,,,,,,Y
549,bullet journal design ideas,,,,,,,,,,Y
550,meal prep,,,,,,,,,,Y
551,meal prep ideas,,,,,,,,,,Y
552,meal prep for the week,,,,,,,,,,Y
553,meal prep aesthetic,,,,,,,,,,Y
554,meal prep recipes,,,,,,,,,,Y
555,meal prep lunch,,,,,,,,,,Y
556,meal prep snacks,,,,,,,,,,Y
557,meal prep breakfast,,,,,,,,,,Y
558,meal prep lunch ideas,,,,,,,,,,Y
559,meal prep rezepte,,,,,,,,,,Y
560,outfit ideas autumn,,,,,,,,,,Y
561,outfit ideas summer,,,,,,,,,,Y
562,outfit ideas casual,,,,,,,,,,Y
563,outfit ideas for school,,,,,,,,,,Y
564,outfit ideas for women,,,,,,,,,,Y
565,outfit ideas men,,,,,,,,,,Y
566,outfit ideas winter,,,,,,,,,,Y
567,outfit ideas jeans,,,,,,,,,,Y
568,outfit ideas y2k,,,,,,,,,,Y
569,planner,,,,,,,,,,Y
570,planner aesthetic,,,,,,,,,,Y
571,planner ideas,,,,,,,,,,Y
572,planner organization,,,,,,,,,,Y
573,planner template,,,,,,,,,,Y
574,planner stickers,,,,,,,,,,Y
575,planner pages,,,,,,,,,,Y
576,planners,,,,,,,,,,Y
577,weekly planner,,,,,,,,,,Y
578,weekly planner template,,,,,,,,,,Y
579,skincare,,,,,,,,,,Y
580,skincare routine,,,,,,,,,,Y
581,skincare aesthetic,,,,,,,,,,Y
582,skincare products,,,,,,,,,,Y
583,skincare order,,,,,,,,,,Y
584,skincare organization,,,,,,,,,,Y
585,skincare routine order,,,,,,,,,,Y
586,skincare products aesthetic,,,,,,,,,,Y
587,skincare fridge,,,,,,,,,,Y
588,skincare steps,,,,,,,,,,Y
589,study motivation,,,,,,,,,,Y
590,study motivation quotes,,,,,,,,,,Y
591,study motivation aesthetic,,,,,,,,,,Y
592,study motivation video,,,,,,,,,,Y
593,study motivation wallpaper,,,,,,,,,,Y
594,study motivation inspiration,,,,,,,,,,Y
595,study aesthetic motivation,,,,,,,,,,Y
596,rory gilmore study motivation,,,,,,,,,,Y
597,motivation to study,,,,,,,,,,Y
598,study,,,,,,,,,,Y
599,travel tips,,,,,,,,,,Y
600,packing tips for travel,,,,,,,,,,Y
601,french tips,,,,,,,,,,Y
602,travel,,,,,,,,,,Y
603,glow up tips,,,,,,,,,,Y
604,travel aesthetic,,,,,,,,,,Y
605,blue french tips,,,,,,,,,,Y
606,square french tips,,,,,,,,,,Y
607,coloured french tips,,,,,,,,,,Y
608,travel outfit,,,,,,,,,,Y
609,wallpapers,,,,,,,,,,Y
610,wallpaper aesthetic,,,,,,,,,,Y
611,wallpaper ipad,,,,,,,,,,Y
612,wallpaper ideas,,,,,,,,,,Y
613,wallpaper 4k,,,,,,,,,,Y
614,wallpaper laptop,,,,,,,,,,Y
615,wallpaper pink,,,,,,,,,,Y
616,wallpaper autumn,,,,,,,,,,Y
617,wedding,,,,,,,,,,Y
618,wedding guest dress,,,,,,,,,,Y
619,wedding cake,,,,,,,,,,Y
620,wedding nails,,,,,,,,,,Y
621,wedding guest outfit,,,,,,,,,,Y
622,wedding hair,,,,,,,,,,Y
623,wedding hairstyles,,,,,,,,,,Y
624,wedding ring,,,,,,,,,,Y
625,budget friendly meals,,,,,,,,,,Y
626,budget template,,,,,,,,,,Y
627,budget friendly meals families,,,,,,,,,,Y
628,budget planner template,,,,,,,,,,Y
629,coloring pages y2k,,,,,,,,,,Y
630,coloring pages fall,,,,,,,,,,Y
631,coloring pages halloween,,,,,,,,,,Y
632,coloring pages easy,,,,,,,,,,Y
633,coloring pages free printable,,,,,,,,,,Y
634,coloring pages for boys,,,,,,,,,,Y
635,desk setup office,,,,,,,,,,Y
636,desk setups,,,,,,,,,,Y
637,cute desk setup,,,,,,,,,,Y
638,teacher desk setup,,,,,,,,,,Y
639,gift ideas for mom,,,,,,,,,,Y
640,gift ideas for girlfriends,,,,,,,,,,Y
641,home decor aesthetic,,,,,,,,,,Y
642,home decor diy,,,,,,,,,,Y
643,home decor styles,,,,,,,,,,Y
644,journal ideas prompts,,,,,,,,,,Y
645,journal ideas writing,,,,,,,,,,Y
646,meal prep breakfast ideas,,,,,,,,,,Y
647,meal prep lunches,,,,,,,,,,Y
648,outfit ideas black women,,,,,,,,,,Y
649,outfit ideas school,,,,,,,,,,Y
650,outfit ideas fall,,,,,,,,,,Y
651,outfit ideas shorts,,,,,,,,,,Y
652,planner inspo,,,,,,,,,,Y
653,planner cover,,,,,,,,,,Y
654,planner inspiration,,,,,,,,,,Y
655,motivation,,,,,,,,,,Y
656,fox tips hair,,,,,,,,,,Y
657,fall french tips,,,,,,,,,,Y
658,travel outfits for women,,,,,,,,,,Y
659,wallpaper for laptop,,,,,,,,,,Y
660,wallpaper macbook,,,,,,,,,,Y
661,wedding rings,,,,,,,,,,Y
662,wedding guest hairstyles,,,,,,,,,,Y
663,cute bedroom ideas,,,,,,,,,,Y
664,small room makeover,,,,,,,,,,Y
665,cozy bedroom ideas,,,,,,,,,,Y
666,small room ideas,,,,,,,,,,Y
667,bedroom ideas for small rooms diy,,,,,,,,,,Y
668,how to save money,,,,,,,,,,Y
669,money saving,,,,,,,,,,Y
670,coloring books,,,,,,,,,,Y
671,coloring page,,,,,,,,,,Y
672,coloring book,,,,,,,,,,Y
673,halloween coloring pages,,,,,,,,,,Y
674,work from home set up,,,,,,,,,,Y
675,corner desk,,,,,,,,,,Y
676,home office ideas,,,,,,,,,,Y
677,office ideas,,,,,,,,,,Y
678,desk ideas,,,,,,,,,,Y
679,gifts,,,,,,,,,,Y
680,christmas present ideas,,,,,,,,,,Y
681,handmade gift ideas for best friend,,,,,,,,,,Y
682,gifts for friends,,,,,,,,,,Y
683,bathroom decor,,,,,,,,,,Y
684,family room,,,,,,,,,,Y
685,entryway ideas,,,,,,,,,,Y
686,house decor,,,,,,,,,,Y
687,aesthetic diary ideas,,,,,,,,,,Y
688,mini art journal,,,,,,,,,,Y
689,journal aesthetic,,,,,,,,,,Y
690,journal page,,,,,,,,,,Y
691,lunch ideas for work,,,,,,,,,,Y
692,high protein meal prep,,,,,,,,,,Y
693,winter outfits for women,,,,,,,,,,Y
694,style,,,,,,,,,,Y
695,birthday outfit,,,,,,,,,,Y
696,outfits for school,,,,,,,,,,Y
697,fall outfits 2026 women,,,,,,,,,,Y
698,digital planner,,,,,,,,,,Y
699,week planner,,,,,,,,,,Y
700,daily planner,,,,,,,,,,Y
701,monthly planner,,,,,,,,,,Y
702,grwm,,,,,,,,,,Y
703,skin care products,,,,,,,,,,Y
704,skin care routine,,,,,,,,,,Y
705,skin care,,,,,,,,,,Y
706,clear skin,,,,,,,,,,Y
707,student aesthetic,,,,,,,,,,Y
708,study vibes,,,,,,,,,,Y
709,study era,,,,,,,,,,Y
710,study core,,,,,,,,,,Y
711,academic motivation,,,,,,,,,,Y
712,travel hacks,,,,,,,,,,Y
713,solo travel,,,,,,,,,,Y
714,switzerland travel,,,,,,,,,,Y
715,travel essentials,,,,,,,,,,Y
716,wallpaper dark,,,,,,,,,,Y
717,black and white wallpaper,,,,,,,,,,Y
718,cool wallpaper,,,,,,,,,,Y
719,desktop wallpaper,,,,,,,,,,Y
720,elegant wedding dresses,,,,,,,,,,Y
721,flowy wedding dress,,,,,,,,,,Y
722,wedding dresses lace,,,,,,,,,,Y
723,fun wedding ideas,,,,,,,,,,Y
724,backless wedding dress,,,,,,,,,,Y
725,bedroom decor,,,,,,,,,,Y
726,cozy bedroom,,,,,,,,,,Y
727,bedroom inspo,,,,,,,,,,Y
728,how to budget for beginners,,,,,,,,,,Y
729,saving money tips,,,,,,,,,,Y
730,home office setup,,,,,,,,,,Y
731,christmas gifts for women,,,,,,,,,,Y
732,small gift ideas,,,,,,,,,,Y
733,small living room ideas,,,,,,,,,,Y
734,journaling,,,,,,,,,,Y
735,food prep ideas,,,,,,,,,,Y
736,work lunch ideas,,,,,,,,,,Y
737,cute fall outfits for women,,,,,,,,,,Y
738,fall casual outfits,,,,,,,,,,Y
739,serious skin care,,,,,,,,,,Y
740,cool things,,,,,,,,,,Y
741,wallpaper black,,,,,,,,,,Y
742,backgrounds,,,,,,,,,,Y
